挽回率假設,鎖定 session 數,其中本來就會買,本來不會買,增額訂單數,增額訂單佔現有%,增額營收,增額毛利,折扣浪費成本,淨效益(5個月),淨效益(年化),合理性
0.01,907427.2000000001,76466.83725089421,830960.3627491059,8309.603627491058,5.307141433118563,336911.5642177746,117919.04747622111,310033.58167113113,-192114.53419491003,-461074.882067784,合理
0.02,907427.2000000001,76466.83725089421,830960.3627491059,16619.207254982117,10.614282866237126,673823.1284355492,235838.09495244222,310033.58167113113,-74195.48671868892,-178069.1681248534,合理
0.03,907427.2000000001,76466.83725089421,830960.3627491059,24928.810882473175,15.921424299355689,1010734.6926533239,353757.1424286633,310033.58167113113,43723.56075753219,104936.54581807727,偏樂觀
0.05,907427.2000000001,76466.83725089421,830960.3627491059,41548.0181374553,26.53570716559282,1684557.8210888733,589595.2373811057,310033.58167113113,279561.6557099745,670947.9737039388,偏樂觀
0.08,907427.2000000001,76466.83725089421,830960.3627491059,66476.82901992847,42.4571314649485,2695292.513742197,943352.3798097689,310033.58167113113,633318.7981386378,1519965.1155327307,不可信
0.1,907427.2000000001,76466.83725089421,830960.3627491059,83096.0362749106,53.07141433118564,3369115.6421777466,1179190.4747622113,310033.58167113113,869156.8930910802,2085976.5434185928,不可信
