加購件數,session 數,佔比%,購買率%,vs 整體
0,543406,57.5717573071039,7.335031265757095,0.5444733652884028
1,155309,16.454385957477466,20.232568621264704,1.5018470033081028
2,91778,9.723523005140505,22.812656627950055,1.6933648235931158
3,54443,5.768024613402608,23.09387800084492,1.7142396558526465
4,33293,3.5272641745314006,22.956777701018233,1.7040628128476043
5,20512,2.173166814284927,22.538026521060843,1.672979255612575
6+,45135,4.781878128059194,22.375096931427937,1.6608851255729904
