brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
cosmoprofi,84649.0,54072.0,27873.0,15860.0,6927.0,8930.0,1186.0,16.515017014351237,10.999892368959207,89.00010763104079,24807.0,67.96182685753239
finish,650.0,454.0,200.0,102.0,42.0,62.0,8.0,13.656387665198238,11.0,89.0,178.0,69.0
kaypro,11491.0,9513.0,2761.0,1121.0,480.0,1387.0,135.0,14.580048354882791,11.010503440782324,88.98949655921767,2457.0,49.76457805143064
keen,5450.0,4421.0,1352.0,518.0,234.0,638.0,70.0,14.431124180049762,11.020710059171597,88.9792899408284,1203.0,52.81065088757396
freedecor,161176.0,83789.0,65578.0,34826.0,17358.0,15201.0,2059.0,18.14199954647985,11.026563786635762,88.97343621336424,58347.0,76.81997011192779
bluesky,132061.0,75104.0,49456.0,29926.0,11392.0,12685.0,1672.0,16.889912654452495,11.082578453574895,88.9174215464251,43975.0,74.35093820769977
bespecial,2680.0,2390.0,342.0,180.0,63.0,156.0,21.0,6.527196652719665,11.11111111111111,88.88888888888889,304.0,54.385964912280706
sophin,16227.0,11859.0,4710.0,2531.0,997.0,1862.0,259.0,15.701155240745427,11.316348195329088,88.68365180467092,4177.0,60.467091295116774
pole,127321.0,69434.0,51104.0,30857.0,11521.0,13689.0,1807.0,19.715125154823284,11.32592360676268,88.67407639323733,45316.0,73.21344708829054
profhenna,4833.0,3105.0,1651.0,791.0,414.0,469.0,55.0,15.104669887278583,11.326468806783767,88.67353119321623,1464.0,71.59297395517868
meisterwerk,1991.0,1496.0,457.0,285.0,115.0,171.0,24.0,11.43048128342246,11.37855579868709,88.62144420131291,405.0,62.58205689277899
naturmed,1294.0,1071.0,295.0,117.0,80.0,162.0,20.0,15.126050420168067,11.525423728813559,88.47457627118645,261.0,45.08474576271186
bioaqua,20937.0,15982.0,4810.0,2532.0,988.0,1580.0,192.0,9.886121887123013,11.683991683991685,88.31600831600832,4248.0,67.15176715176715
consly,1922.0,1287.0,624.0,354.0,145.0,221.0,26.0,17.17171717171717,11.698717948717949,88.30128205128204,551.0,64.58333333333334
dr.gloderm,1482.0,1226.0,332.0,138.0,51.0,150.0,20.0,12.234910277324634,11.74698795180723,88.25301204819277,293.0,54.81927710843374
naomi,4290.0,3541.0,867.0,463.0,177.0,408.0,50.0,11.522168878847783,11.76470588235294,88.23529411764706,765.0,52.94117647058824
pnb,60281.0,40450.0,18504.0,11335.0,4621.0,6718.0,858.0,16.60815822002472,11.781236489407695,88.2187635105923,16324.0,63.69433635970601
siberina,9067.0,6330.0,2647.0,1446.0,583.0,1008.0,143.0,15.924170616113745,11.786928598413299,88.2130714015867,2335.0,61.91915375897242
grattol,573192.0,354799.0,199793.0,106124.0,49196.0,55191.0,7309.0,15.555568082209929,11.79370648621323,88.20629351378678,176230.0,72.37590906588319
cutrin,3035.0,2465.0,686.0,291.0,140.0,304.0,54.0,12.332657200811358,11.807580174927114,88.19241982507289,605.0,55.68513119533528
enigma,3992.0,2838.0,1092.0,577.0,212.0,288.0,49.0,10.14799154334038,11.904761904761903,88.09523809523809,962.0,73.62637362637363
