鎖定比例,session 數,涵蓋購買者,涵蓋率%,該群購買率%,提升倍數
0.05,9304,4116,17.52682677567706,44.239036973344795,3.5056102484588028
0.1,18609,7011,29.85436893203883,37.67531839432532,2.985485022123651
0.2,37218,11469,48.83750638732754,30.815734322102205,2.44191468540409
0.3,55827,14806,63.047181059444725,26.52121733211528,2.101606581921874
