觀察窗(分),符合資格 session,佔全體%,正樣本數,正樣本比例%,保留的購買者%
1,1249515,27.539729908911703,138391,11.075577324001713,88.38696079808909
2,1063364,23.43689940085552,133669,12.570389819478562,85.37113441567566
3,943876,20.80334378339111,127157,13.471790786077834,81.21207863374507
5,786675,17.338580990298727,114232,14.520863126449932,72.95719595846055
10,570990,12.584811211301577,89946,15.752640151316136,57.44631931227406
15,451773,9.957228524778628,73271,16.2185433835134,46.7964029787832
30,281172,6.1971252349499775,44535,15.839059365797448,28.443419724858533
