price_band,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
中價位,3082706.0,1859923.0,1094249.0,619949.0,266012.0,303266.0,41934.0,16.305298660213353,11.86174261982419,88.13825738017582,964452.0,72.28546701893262
偏低,2804816.0,1448659.0,1148565.0,641725.0,294676.0,262448.0,37781.0,18.11661681596566,12.372046858471222,87.62795314152878,1006464.0,77.14992185901538
偏高,2410315.0,1601862.0,754259.0,418592.0,185704.0,235707.0,33922.0,14.714563426812047,12.456198732796029,87.54380126720397,660307.0,68.74985913326854
最高價 20%,2742516.0,2221011.0,541378.0,280716.0,139515.0,211083.0,33698.0,9.503915108930123,13.999830063282955,86.00016993671704,465586.0,61.01005212624081
最低價 20%,2765973.0,1177815.0,1273086.0,638706.0,392256.0,231879.0,36290.0,19.687217432279265,14.388737288761325,85.61126271123868,1089905.0,81.78606944071335
